date,hour,hire_count
2023-01-08,0,171
2023-01-08,1,108
2023-01-08,2,83
2023-01-08,3,37
2023-01-08,4,47
2023-01-08,5,186
2023-01-08,6,774
2023-01-08,7,1986
2023-01-08,8,3410
2023-01-08,9,1825
2023-01-08,10,1076
2023-01-08,11,1023
2023-01-08,12,1223
2023-01-08,13,1148
2023-01-08,14,1227
2023-01-08,15,1324
2023-01-08,16,1849
2023-01-08,17,3579
2023-01-08,18,3412
2023-01-08,19,2115
2023-01-08,20,1488
2023-01-08,21,936
2023-01-08,22,621
2023-01-08,23,406
2023-02-08,0,183
2023-02-08,1,95
2023-02-08,2,37
2023-02-08,3,14
2023-02-08,4,31
2023-02-08,5,134
2023-02-08,6,612
2023-02-08,7,1615
2023-02-08,8,1713
2023-02-08,9,1543
2023-02-08,10,919
2023-02-08,11,896
2023-02-08,12,1021
2023-02-08,13,566
2023-02-08,14,307
2023-02-08,15,564
2023-02-08,16,991
2023-02-08,17,1989
2023-02-08,18,2384
2023-02-08,19,1774
2023-02-08,20,1240
2023-02-08,21,889
2023-02-08,22,720
2023-02-08,23,385
2023-03-08,0,212
2023-03-08,1,83
2023-03-08,2,55
2023-03-08,3,47
2023-03-08,4,63
2023-03-08,5,165
2023-03-08,6,676
2023-03-08,7,1826
2023-03-08,8,3243
2023-03-08,9,1887
2023-03-08,10,1152
2023-03-08,11,1100
2023-03-08,12,1338
2023-03-08,13,1245
2023-03-08,14,1214
2023-03-08,15,1422
2023-03-08,16,1756
2023-03-08,17,3103
2023-03-08,18,3152
2023-03-08,19,2090
2023-03-08,20,1444
2023-03-08,21,1081
2023-03-08,22,893
2023-03-08,23,574
2023-04-08,0,316
2023-04-08,1,141
2023-04-08,2,91
2023-04-08,3,53
2023-04-08,4,79
2023-04-08,5,152
2023-04-08,6,548
2023-04-08,7,1236
2023-04-08,8,1966
2023-04-08,9,1424
2023-04-08,10,987
2023-04-08,11,1080
2023-04-08,12,1201
2023-04-08,13,1277
2023-04-08,14,1330
2023-04-08,15,1330
2023-04-08,16,1805
2023-04-08,17,2469
2023-04-08,18,2339
2023-04-08,19,1649
2023-04-08,20,1225
2023-04-08,21,829
2023-04-08,22,789
2023-04-08,23,631
2023-05-08,0,396
2023-05-08,1,253
2023-05-08,2,210
2023-05-08,3,143
2023-05-08,4,100
2023-05-08,5,86
2023-05-08,6,160
2023-05-08,7,257
2023-05-08,8,423
2023-05-08,9,478
2023-05-08,10,561
2023-05-08,11,700
2023-05-08,12,728
2023-05-08,13,758
2023-05-08,14,701
2023-05-08,15,535
2023-05-08,16,761
2023-05-08,17,973
2023-05-08,18,1012
2023-05-08,19,791
2023-05-08,20,614
2023-05-08,21,413
2023-05-08,22,266
2023-05-08,23,315
2023-06-08,0,263
2023-06-08,1,221
2023-06-08,2,186
2023-06-08,3,96
2023-06-08,4,81
2023-06-08,5,68
2023-06-08,6,153
2023-06-08,7,263
2023-06-08,8,476
2023-06-08,9,804
2023-06-08,10,1253
2023-06-08,11,1464
2023-06-08,12,1677
2023-06-08,13,1705
2023-06-08,14,1603
2023-06-08,15,1673
2023-06-08,16,1578
2023-06-08,17,1582
2023-06-08,18,1529
2023-06-08,19,1323
2023-06-08,20,1027
2023-06-08,21,628
2023-06-08,22,499
2023-06-08,23,329
2023-07-08,0,148
2023-07-08,1,100
2023-07-08,2,44
2023-07-08,3,36
2023-07-08,4,45
2023-07-08,5,144
2023-07-08,6,628
2023-07-08,7,1544
2023-07-08,8,2653
2023-07-08,9,1488
2023-07-08,10,934
2023-07-08,11,957
2023-07-08,12,1137
2023-07-08,13,1134
2023-07-08,14,1191
2023-07-08,15,1228
2023-07-08,16,1764
2023-07-08,17,3140
2023-07-08,18,3220
2023-07-08,19,2038
2023-07-08,20,1316
2023-07-08,21,843
2023-07-08,22,591
2023-07-08,23,309
2023-08-08,0,147
2023-08-08,1,85
2023-08-08,2,51
2023-08-08,3,29
2023-08-08,4,55
2023-08-08,5,159
2023-08-08,6,764
2023-08-08,7,1887
2023-08-08,8,3151
2023-08-08,9,1607
2023-08-08,10,614
2023-08-08,11,484
2023-08-08,12,582
2023-08-08,13,519
2023-08-08,14,485
2023-08-08,15,801
2023-08-08,16,1334
2023-08-08,17,2740
2023-08-08,18,2868
2023-08-08,19,1452
2023-08-08,20,1040
2023-08-08,21,538
2023-08-08,22,513
2023-08-08,23,313
2023-09-08,0,156
2023-09-08,1,71
2023-09-08,2,54
2023-09-08,3,26
2023-09-08,4,58
2023-09-08,5,161
2023-09-08,6,732
2023-09-08,7,1901
2023-09-08,8,3292
2023-09-08,9,1836
2023-09-08,10,1147
2023-09-08,11,1134
2023-09-08,12,1401
2023-09-08,13,1378
2023-09-08,14,1363
2023-09-08,15,1385
2023-09-08,16,2021
2023-09-08,17,3535
2023-09-08,18,3536
2023-09-08,19,2304
2023-09-08,20,1615
2023-09-08,21,1245
2023-09-08,22,926
2023-09-08,23,515
2023-10-08,0,248
2023-10-08,1,114
2023-10-08,2,53
2023-10-08,3,47
2023-10-08,4,48
2023-10-08,5,178
2023-10-08,6,714
2023-10-08,7,1875
2023-10-08,8,3372
2023-10-08,9,1863
2023-10-08,10,1156
2023-10-08,11,1163
2023-10-08,12,1297
2023-10-08,13,1193
2023-10-08,14,1256
2023-10-08,15,1428
2023-10-08,16,1906
2023-10-08,17,3297
2023-10-08,18,3334
2023-10-08,19,2192
2023-10-08,20,1613
2023-10-08,21,1153
2023-10-08,22,934
2023-10-08,23,504
2023-11-08,0,282
2023-11-08,1,165
2023-11-08,2,112
2023-11-08,3,44
2023-11-08,4,80
2023-11-08,5,137
2023-11-08,6,504
2023-11-08,7,1156
2023-11-08,8,2037
2023-11-08,9,1497
2023-11-08,10,1051
2023-11-08,11,1120
2023-11-08,12,1315
2023-11-08,13,1348
2023-11-08,14,1282
2023-11-08,15,1478
2023-11-08,16,1918
2023-11-08,17,2594
2023-11-08,18,2527
2023-11-08,19,1802
2023-11-08,20,1253
2023-11-08,21,832
2023-11-08,22,728
2023-11-08,23,632
2023-12-08,0,453
2023-12-08,1,318
2023-12-08,2,191
2023-12-08,3,114
2023-12-08,4,107
2023-12-08,5,96
2023-12-08,6,150
2023-12-08,7,327
2023-12-08,8,707
2023-12-08,9,1067
2023-12-08,10,1427
2023-12-08,11,1697
2023-12-08,12,1444
2023-12-08,13,1493
2023-12-08,14,1595
2023-12-08,15,1638
2023-12-08,16,1669
2023-12-08,17,1666
2023-12-08,18,1384
2023-12-08,19,1196
2023-12-08,20,940
2023-12-08,21,688
2023-12-08,22,611
2023-12-08,23,402
